word,tfidf_score
bang,774.7336462984459
nya,468.73803431132353
beli,438.07836401139934
bagi,419.53875918977275
saja,406.170236556076
yang,352.8414083940695
crypto,343.61159404283444
btc,326.1351826386044
kak,309.4206580187253
ajarin,300.53021759646094
saya,294.37666988679155
gimana,279.06436747536634
pakai,275.5608083452196
kalau,248.2676994853116
bitcoin,247.69171200911643
belajar,243.92059562505713
xrp,239.43269871998461
main,227.86838659231853
iya,211.01210727047754
turun,208.82539270104414
bro,203.9383868044626
modal,202.0481279813168
buy,200.31007488816806
web,197.95430393350784
kakak,195.8316559209086
mantap,192.22286849142404
pabrik,189.88413212662235
harga,188.78138408953873
uang,186.4364755797274
sih,176.48833388883858
tutor,175.50723732477462
saham,173.88006478460443
coin,172.0497113076135
judi,169.76012670405467
apk,169.3724977838755
orang,168.94353455377728
bng,168.26970736818103
forex,166.0804741966592
koin,161.95614168274454
trading,161.3313918041748
aman,160.6348023679671
kaya,155.5729752175056
all,154.704255401961
tidak,151.92499242598115
indodax,150.93867223238695
ribu,148.3488424387026
jual,147.71267132976334
eth,138.82499332590947
oke,138.7170395482533
begitu,130.04725612481795
