word,frequency
bang,1150
nya,957
beli,816
saja,793
yang,773
kalau,523
crypto,510
btc,493
saya,492
bagi,424
pakai,379
main,344
bitcoin,343
uang,312
orang,310
turun,301
kak,300
harga,296
belajar,267
gimana,261
jual,242
sih,230
coin,224
xrp,216
pas,215
kaya,211
modal,210
ajarin,208
tidak,204
saham,203
trading,198
begitu,188
bro,179
forex,169
koin,164
masuk,151
aman,150
ribu,147
indodax,145
biar,145
market,145
buy,139
terus,137
apk,136
web,130
iya,129
eth,129
kakak,127
bagaimana,126
judi,124
